"price,year,manufacturer,model,cylinders,odometer,type,fuel"
"35990,2010,chevrolet,corvette grand sport,8 cylinders,32742,other,gas"
"7500,2014,hyundai,sonata,4 cylinders,93600,sedan,gas"
"4900,2006,bmw,x3 3.0i,6 cylinders,87046,SUV,gas"
"2000,1974,chevrolet,c-10,4 cylinders,190000,pickup,gas"
"19500,2005,ford,f350 lariat,8 cylinders,116000,pickup,diesel"
"29590,2016,toyota,tacoma double cab sr5,6 cylinders,33290,pickup,gas"
"39990,2012,ford,mustang shelby gt500 coupe,8 cylinders,9692,coupe,gas"
"41990,2012,chevrolet,camaro zl1 coupe 2d,8 cylinders,2778,coupe,gas"
"31990,2017,jeep,wrangler unlimited sport s,6 cylinders,29614,other,gas"
"490,2019,ford,transit connect wagon xlt,4 cylinders,4775,van,gas"
"27500,2012,ford,f-250,,189000,pickup,diesel"
"36990,2013,bmw,m3 coupe 2d,8 cylinders,50956,coupe,gas"
"24990,2016,ram,1500 crew cab slt pickup 4d,6 cylinders,57926,pickup,other"
"5995,2010,hyundai,tucson,,126000,,gas"
"4900,2003,ford,expedition,8 cylinders,177000,SUV,gas"
"38500,,,500,8 cylinders,28246,pickup,gas"
"33990,2012,chevrolet,corvette grand sport,8 cylinders,49245,other,gas"
"2650,1996,toyota,t100 4x4,6 cylinders,414625,pickup,gas"
"32990,2019,ford,f150 supercrew cab xlt,6 cylinders,6910,pickup,gas"
"47000,2020,jeep,gladiator,6 cylinders,10500,pickup,gas"
"4500,2003,ford,f-150,,,,gas"
"6500,2010,,bmw328xi,6 cylinders,149786,sedan,gas"
"28990,2018,toyota,tacoma double cab sr5,6 cylinders,17117,pickup,gas"
"20990,2012,ford,mustang gt premium coupe 2d,8 cylinders,37234,coupe,gas"
"15499,2016,honda,civic lx sedan 4d,4 cylinders,20580,,gas"
"0,2016,chevrolet,silverado 1500 lt z71,8 cylinders,29458,truck,other"
"40590,2013,chevrolet,camaro zl1 convertible,8 cylinders,7007,other,gas"
"34990,2020,jeep,wrangler unlimited sport s,,17622,SUV,gas"
"11500,2013,bmw,528i xdrive,4 cylinders,115372,sedan,gas"
"27990,2012,bmw,m3 convertible 2d,8 cylinders,61881,other,gas"
"15998,2012,ford,f-150,,154878,pickup,gas"
"7998,2013,dodge,grand caravan,,94325,mini-van,gas"
"8998,2009,ford,flex,,148452,wagon,gas"
"17998,2015,dodge,challenger,,91661,coupe,gas"
"10998,2013,dodge,journey,,43423,SUV,gas"
"12998,2015,ford,transit connect cargo,,112974,,gas"
"13498,2015,ford,mustang,,89469,coupe,gas"
"8998,2015,ford,fusion,,76546,sedan,gas"
"29988,2019,lexus,nx 300 f sport,4 cylinders,18022,SUV,gas"
"15988,2016,honda,civic lx,4 cylinders,35860,sedan,gas"
"20488,2014,mercedes-benz,cla 250,4 cylinders,46313,sedan,gas"
"28990,2014,jeep,wrangler unlimited sahara,6 cylinders,39910,other,gas"
"0,2014,ram,,,0,other,diesel"
"36990,2010,chevrolet,corvette grand sport,8 cylinders,30665,other,gas"
"2200,1986,chevrolet,caprice,,,,gas"
"33990,2016,ford,f150 supercrew cab xlt,8 cylinders,18175,pickup,gas"
"27590,2016,toyota,tacoma double cab sr5,6 cylinders,24849,pickup,gas"
"6250,2010,ford,fusion sel,6 cylinders,82000,sedan,gas"
"22990,2012,ford,mustang gt premium,8 cylinders,18698,convertible,gas"
"31990,2018,chevrolet,camaro ss coupe 2d,8 cylinders,21240,coupe,gas"
"12998,2013,cadillac,xts,,130527,sedan,gas"
"17998,2004,gmc,sierra 2500hd,,160026,pickup,diesel"
"14498,2017,gmc,terrain,,74716,SUV,gas"
"13998,2018,hyundai,sonata,,39784,sedan,gas"
"14498,2016,honda,odyssey,,103492,mini-van,gas"
"25590,2011,chevrolet,silverado 1500 crew,8 cylinders,62404,pickup,gas"
"14498,2017,toyota,camry,,50890,sedan,gas"
"8498,2011,subaru,outback,,138247,wagon,gas"
"7998,2015,toyota,prius,,137720,hatchback,hybrid"
"12998,2014,subaru,impreza,,99598,wagon,gas"
"8998,2012,subaru,legacy,,98056,sedan,gas"
"30990,2017,jeep,wrangler unlimited sport s,6 cylinders,26451,other,gas"
"48000,2007,jeep,wrangler sahara,6 cylinders,24000,,gas"
"39590,2012,chevrolet,corvette grand sport,8 cylinders,18139,other,gas"
"34972,2019,infiniti,q60 3.0t premium coupe,,,,gas"
"27500,2015,jeep,wrangler unlimited,6 cylinders,84000,SUV,gas"
"25990,2019,ford,f150 regular cab xl pickup,8 cylinders,5439,pickup,gas"
"28990,2018,toyota,tacoma double cab sr5,6 cylinders,17499,pickup,gas"
"24990,2012,ford,mustang gt premium coupe 2d,8 cylinders,20882,coupe,gas"
"1000,2008,chevrolet,hhr lt,,,SUV,gas"
"13998,2016,mazda,mazda3,,10420,hatchback,gas"
"7998,2014,mini,countryman,,112474,wagon,gas"
"7998,2007,mazda,rx-8,,105290,coupe,gas"
"8498,2012,mini,cooper countryman,,122585,wagon,gas"
"21990,2013,ram,1500 quad cab big horn,8 cylinders,49767,pickup,gas"
"8998,2017,nissan,sentra,,80832,sedan,gas"
"7998,2013,nissan,maxima,,119704,sedan,gas"
"6998,2013,nissan,juke,,76237,wagon,gas"
"9998,2016,,Scion iA,,81511,sedan,gas"
"12998,2014,subaru,impreza,,99598,wagon,gas"
"27990,2015,jeep,wrangler sport suv 2d,6 cylinders,8685,SUV,gas"
"29990,2014,chevrolet,silverado 1500 crew,8 cylinders,46322,pickup,gas"
"8500,2012,chevrolet,equinox lt,4 cylinders,139333,SUV,gas"
"13450,2013,toyota,camry,,55275,sedan,gas"
"7450,1990,chevrolet,corvette,,98255,hatchback,gas"
"11450,2014,mazda,mazda3,,92995,hatchback,gas"
"14450,2011,mazda,cx-9,,70332,SUV,gas"
"33590,2018,jeep,wrangler unlimited all new,6 cylinders,6072,SUV,gas"
"11937,1999,,FordE250,,52000,,gas"
"23995,2015,toyota,tacoma prerunner,,38532,,gas"
"3400,2010,ford,focus,4 cylinders,151269,sedan,gas"
"24999,2016,mercedes-benz,benz c300 4matic,4 cylinders,18823,sedan,gas"
"41900,2016,jeep,wrangler,6 cylinders,13036,SUV,gas"
"23900,2005,gmc,sierra 3500,8 cylinders,145970,truck,diesel"
"8350,2008,chevrolet,silverado 2500hd,8 cylinders,239485,truck,gas"
"18900,2012,chevrolet,silverado 3500hd,8 cylinders,177450,truck,diesel"
"14916,2016,chevrolet,traverse ls,6 cylinders,90974,SUV,gas"
"21900,2014,chevrolet,express 3500 15 pass,8 cylinders,4491,van,gas"
"65879,2018,chevrolet,silverado 2500hd ltz z71,8 cylinders,1373,,diesel"
"22900,2016,ford,f150 xlt,8 cylinders,115071,truck,gas"
"3900,2008,honda,odyssey,6 cylinders,180211,van,gas"
"4900,2006,bmw,325ci,6 cylinders,150000,convertible,gas"
"4,1961,ford,falcon,,88000,,gas"
"28900,2014,toyota,tundra,8 cylinders,55000,,gas"
"7995,2009,honda,accord exl,4 cylinders,161481,sedan,gas"
"34990,2015,chevrolet,silverado 2500 hd crew,8 cylinders,85747,pickup,gas"
"11989,2017,nissan,altima sl,8 cylinders,115528,sedan,gas"
"22990,2012,ford,f-150,6 cylinders,122232,pickup,gas"
"63200,2020,gmc,yukon,8 cylinders,24305,SUV,gas"
"22990,2016,ford,f150 regular cab xl pickup,6 cylinders,8172,pickup,other"
"14990,2010,lexus,is 250 sport sedan 4d,6 cylinders,82913,sedan,gas"
"27141,2019,ford,f-150 xl,8 cylinders,70690,truck,gas"
"39500,2016,chevrolet,silverado 1500,,22331,,gas"
"30900,2019,ford,f-150,,41323,,gas"
"17900,2020,toyota,corolla,,40022,,gas"
"15998,2019,toyota,corolla,,40283,,gas"
"9477,2012,toyota,camry,,97927,,gas"
"24977,2018,dodge,charger,,22371,,gas"
"39590,2017,toyota,tundra crewmax limited,8 cylinders,19725,pickup,gas"
"20988,2015,nissan,titan sv,8 cylinders,70835,truck,gas"
"28590,2020,nissan,370z coupe 2d,6 cylinders,2163,coupe,gas"
"10990,2012,volkswagen,golf tdi hatchback 4d,,91238,hatchback,diesel"
"10500,2016,nissan,altima 2.5 s,,85000,,gas"
"1000,2003,toyota,corolla,4 cylinders,130000,sedan,gas"
"32250,2018,chevrolet,silverado,8 cylinders,31000,,gas"
"5200,1999,ford,f-150 lariat,,194000,,gas"
"2800,1996,toyota,avalon,6 cylinders,184577,sedan,gas"
"27500,2016,dodge,grand caravan se,,32753,,gas"
"7200,2014,kia,forte,4 cylinders,53400,sedan,gas"
"7500,2011,gmc,terrain,4 cylinders,180000,SUV,gas"
"3950,1997,lincoln,town car,8 cylinders,116895,sedan,gas"
"5000,2010,nissan,altima,4 cylinders,163000,,gas"
"34990,2015,ford,super duty f-550 drw,10 cylinders,159808,truck,gas"
"15990,2008,ram,3500,6 cylinders,209854,truck,diesel"
"52990,2016,ram,5500,6 cylinders,35182,truck,diesel"
"46990,2012,ram,5500,6 cylinders,65672,truck,diesel"
"39990,2016,mitsubishi,fuso fe180,4 cylinders,33474,truck,diesel"
"55990,2014,,Hino 338,6 cylinders,106834,,diesel"
"21990,2009,,International DuraStar 4300,6 cylinders,59814,truck,diesel"
"27990,2013,chevrolet,silverado 3500hd,8 cylinders,103725,,gas"
"27990,2016,,Isuzu NPR HD GAS REG,8 cylinders,107649,truck,gas"
"26990,2016,,Isuzu NPR HD GAS REG,8 cylinders,115129,truck,gas"
"30990,2012,ram,5500,6 cylinders,109523,truck,diesel"
"24990,2012,chevrolet,express commercial cutaway,8 cylinders,136363,,gas"
"28990,2014,,Isuzu NPR,8 cylinders,67553,truck,gas"
"20990,2015,chevrolet,express commercial cutaway,8 cylinders,99342,truck,gas"
"16490,2006,ford,f-750,6 cylinders,51806,truck,diesel"
"27990,2016,,Isuzu NPR HD GAS REG,8 cylinders,97126,truck,gas"
"9990,2000,,International 4700,6 cylinders,114702,truck,diesel"
"29990,2015,,Isuzu NPR HD REG,8 cylinders,78744,truck,gas"
"20990,2007,chevrolet,express cargo van,8 cylinders,133355,truck,gas"
"27990,2014,,Isuzu NPR HD,8 cylinders,47006,truck,gas"
"27990,2012,,International 4300,8 cylinders,117550,truck,diesel"
"24990,2006,chevrolet,cc4500,8 cylinders,104422,truck,gas"
"26990,2016,,Isuzu NPR HD GAS REG,8 cylinders,111407,truck,gas"
"27990,2011,ford,super duty f-550 drw,8 cylinders,147797,,diesel"
"17990,2014,ford,econoline,8 cylinders,106913,,gas"
"49990,2014,ford,super duty f-550 drw,8 cylinders,39253,truck,diesel"
"24990,2014,chevrolet,express commercial cutaway,8 cylinders,53765,truck,gas"
"20990,2007,chevrolet,silverado 3500 classic,8 cylinders,51395,,gas"
"40990,2017,ford,super duty f-650 straight frame,8 cylinders,75741,truck,diesel"
"24990,2013,,Isuzu NPR,6 cylinders,65902,truck,diesel"
"26990,2014,,Isuzu NPR,8 cylinders,96025,truck,gas"
"16990,2006,chevrolet,express cargo van,8 cylinders,176894,truck,gas"
"7500,2008,ford,econoline e250 cargo van,8 cylinders,174000,van,gas"
"21900,2016,chevrolet,colorado lt crew cab,6 cylinders,93158,truck,gas"
"17900,2018,nissan,altima 2.5 sl,4 cylinders,69953,sedan,gas"
"800,1976,chevrolet,nova,6 cylinders,123000,sedan,gas"
"5280,2004,cadillac,srx,,160000,,gas"
"19900,2019,hyundai,tucson se,4 cylinders,41828,SUV,gas"
"4499,2007,nissan,murano,6 cylinders,136586,SUV,gas"
"0,2014,,Freightliner Cascadia,,1000,,diesel"
"18900,2016,honda,cr-v se,4 cylinders,64052,SUV,gas"
"14500,2017,ram,2500 slt,,97000,,gas"
"18900,2020,toyota,corolla,4 cylinders,20151,sedan,gas"
"18900,2018,honda,civic,4 cylinders,33939,sedan,gas"
"4980,2006,buick,lucerne,,160000,,gas"
"4980,2008,nissan,rogue s,,187000,,gas"
"5980,2009,nissan,murano sl,,172000,,gas"
"4980,2010,mazda,3,,136000,,gas"
"6980,2005,infiniti,qx56,,158000,,gas"
"3900,2011,hyundai,elantra,4 cylinders,213415,sedan,gas"
"4750,2012,dodge,avenger,4 cylinders,183489,sedan,gas"
"15000,2007,jeep,wrangler unlimited sahara,6 cylinders,98000,,gas"
"1000,1992,nissan,300zx coupe with t-tops,6 cylinders,280000,hatchback,gas"
"4950,2003,chevrolet,tahoe lt,8 cylinders,171140,SUV,gas"
"3999,2004,honda,accord sedan,4 cylinders,149959,sedan,gas"
"6980,2007,lexus,rx350,,190000,,gas"
"31990,2016,toyota,4runner sr5 sport utility,6 cylinders,21066,other,gas"
"35990,2020,ram,1500 classic crew cab slt,8 cylinders,4058,pickup,gas"
